Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
4	4	6332	4	1	5551	4	5	4032	5	6	3285	4	2	10032	5	3	3699	US	244	33	194	2	4	6	4	7	4	3	3	4	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	4	2	2	1	39	320	568	1	2	2	16	1	2	1	Philosophy
1	4	3368	5	1	5811	3	2	5602	1	5	2115	2	3	6235	1	6	2441	IN	34	27	163	1	7	5	6	2	7	6	6	4	5	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	1	1	20	1366	768	1	2	1	17	2	1	1	
3	1	15333	2	5	4724	5	3	6241	3	4	16004	4	2	10077	1	6	3792	GR	12	56	272	3	4	6	6	6	5	4	3	5	2	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	3	3	1	2	33	1680	1050	1	7	1	16	2	1	0	mathematics
5	4	2861	5	5	7321	5	1	21851	5	3	2408	5	6	3431	5	2	3476	DE	331	42	125	7	2	5	1	7	1	7	7	7	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	1	1	18	1440	900	2	4	1	17	2	1	0	
2	2	52691	5	3	6110	4	5	7039	4	1	21310	4	4	4386	3	6	5430	ES	31	98	159	6	7	7	6	5	5	1	2	4	4	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	4	3	2	2	26	1280	720	2	4	1	16	1	1	2	Biochemistry
4	6	3787	4	2	4590	4	3	3678	5	5	2318	5	1	3773	4	4	2736	NO	9	22	127	3	3	4	5	6	7	5	5	3	2	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	3	2	2	2	32	360	640	1	2	1	16	2	1	2	Anthropology 
4	4	3055	4	5	2082	5	3	5929	5	6	1707	4	2	5103	5	1	2905	AU	16	23	132	7	2	5	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	1	1	1	1	1	3	2	2	1	22	320	568	1	12	2	16	2	1	6	Education
5	5	4456	3	1	6589	5	3	4190	5	6	3480	5	2	6134	3	4	3034	PL	21	29	144	4	7	3	3	6	1	5	7	3	2	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	3	3	2	2	33	1280	720	3	1	1	16	2	1	1	philosophy, medicine
3	5	3435	4	1	6688	5	3	4866	4	6	5081	5	2	4215	4	4	2596	GB	3	31	218	4	5	2	6	5	2	7	7	1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	2	2	1	16	320	568	1	1	3	16	2	1	3	
5	3	8255	4	5	6098	5	2	2840	5	1	3354	5	4	2367	5	6	2518	US	15	26	132	7	3	1	2	7	2	7	7	5	1	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	1	1	36	1440	900	1	2	5	16	2	2	2	political science
5	3	1239	5	2	4039	1	1	5167	4	6	5440	5	5	8376	4	4	7049	NO	4	32	160	1	2	3	5	5	7	2	7	3	3	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	3	1	2	52	1200	1920	1	2	1	16	2	1	5	biology
4	1	5794	4	5	4699	5	4	3117	5	2	8470	5	3	3548	4	6	3550	US	10	30	144	7	5	6	2	7	3	6	6	5	3	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	2	1	58	1024	768	1	12	1	16	1	2	4	
2	3	8616	4	1	7160	4	4	5683	4	5	3748	4	6	5184	4	2	16086	PH	14	47	192	2	5	5	6	6	6	7	2	3	5	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	2	2	2	2	20	1366	768	1	4	1	11	1	1	4	Psychology
